""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YAL051W"	6	4	5	5	8	6
"YOL162W"	0	1	0	1	0	0
"YOR077W"	1	1	2	3	0	1
"YLR234W"	1	3	3	1	2	1
"YDR198C"	3	3	3	3	3	3
"YJR124C"	7	9	5	1	3	2
"YHR107C"	14	6	7	7	6	6
"YER112W"	9	11	7	6	3	11
"YLL066C"	4	7	8	4	6	6
"YCL026C-A"	1	0	0	0	0	0
"YLR174W"	1	3	2	48	60	65
"YCR018C-A"	0	0	1	0	0	0
"YGR108W"	7	2	9	4	11	8
"YDR346C"	21	46	32	18	26	26
"YDL232W"	1	1	2	0	0	1
"YDR091C"	30	50	25	15	17	18
"YER165C-A"	0	0	2	0	0	0
"YKR092C"	24	44	19	5	3	7
"YLR269C"	0	0	1	0	0	1
"YEL069C"	0	0	0	0	0	1
"YLR117C"	2	3	4	5	10	7
"YLR385C"	1	0	0	2	0	0
"YBR250W"	0	0	0	0	1	0
"YDR143C"	16	11	13	3	7	4
"YER185W"	1	0	0	0	0	1
"YGL007W"	0	0	0	1	0	1
"YAL031C"	8	2	2	3	4	7
"YNR075C-A"	0	0	0	0	0	0
"YOL013C"	8	11	7	3	2	4
"YGR139W"	0	0	0	0	0	0
"YLR089C"	22	16	8	26	26	26
"YKL222C"	1	4	5	4	12	1
"YKL155C"	6	11	4	5	4	14
"YGR154C"	1	2	0	1	6	2
"YNL277W"	24	34	29	20	17	21
"YOL061W"	22	23	27	18	20	21
"YDL014W"	50	66	54	17	22	42
"YFR013W"	16	15	5	7	5	8
"YCL064C"	1	1	0	1	7	3
"YDR493W"	3	5	1	2	3	2
"YLR345W"	3	5	2	13	21	23
"YGL022W"	56	53	44	17	16	29
"YLR192C"	26	35	17	16	11	21
"YOR265W"	2	3	2	3	2	4
"YCL019W"	19	14	14	7	10	10
"YDR031W"	1	3	6	5	1	2
"YOR333C"	0	1	1	0	0	0
"YDL190C"	18	23	14	9	14	14
"YKR083C"	0	5	2	0	2	1
"YBR141C"	0	5	1	1	1	1
"YAL008W"	4	5	4	8	7	8
"YDR453C"	0	0	0	1	1	2
"YDR191W"	4	2	1	2	1	3
"YDR490C"	7	4	4	5	8	2
"YER107W-A"	3	2	3	1	2	2
"YLR459W"	4	3	8	2	6	6
"YNL193W"	4	6	6	2	4	7
"YHR099W"	25	34	23	9	10	17
"YLR360W"	6	4	2	2	3	1
"YKL070W"	4	0	2	2	3	3
"YPR170W-B"	3	1	2	1	2	2
"YKL145W-A"	0	0	0	0	0	0
"YOR142W"	17	19	18	35	36	39
"YDR304C"	20	21	11	7	6	8
"YLR430W"	11	25	19	16	13	10
"YPL020C"	9	7	6	2	5	5
"YHL023C"	7	15	9	5	10	5
"YLR165C"	0	2	2	0	1	2
"YOR283W"	5	10	5	4	2	8
"YMR052C-A"	0	0	1	1	0	0
"YJR054W"	7	13	2	4	2	1
"YOR053W"	0	0	0	0	0	0
"YER084W-A"	0	0	0	0	0	0
"YHL005C"	0	0	0	0	0	0
"YMR255W"	1	6	5	3	5	5
"YDR029W"	0	3	0	0	2	2
"YDR033W"	83	103	73	22	37	39
"YPL154C"	22	29	24	38	53	41
"YNL043C"	2	1	0	0	0	1
"YDR253C"	5	3	4	4	2	6
"YAL032C"	2	6	2	3	10	6
"YNL241C"	52	73	54	26	45	55
"YNL014W"	3	0	2	23	36	37
"YEL011W"	6	2	0	21	31	39
"YNL291C"	9	8	9	6	2	5
"YDL140C"	42	62	45	21	37	51
"YLR079W"	9	7	7	5	7	17
"YMR104C"	3	4	3	13	8	20
"YOR348C"	0	2	2	40	35	58
"YOR097C"	1	2	2	1	2	5
"Q0143"	0	0	0	0	0	0
"YOR072W-B"	0	0	0	0	0	0
"YHR103W"	9	21	16	7	9	7
"YOL126C"	0	1	0	31	32	24
"YOL107W"	5	2	6	1	3	0
"YHR026W"	22	21	14	7	10	9
"YGL061C"	4	5	0	3	3	5
"YGR028W"	12	10	5	4	6	5
"YMR141W-A"	0	0	0	0	0	0
"YJL089W"	3	2	1	13	12	20
"YKL116C"	6	8	4	5	5	6
"YHR134W"	2	0	0	1	3	2
"YOR022C"	1	4	2	3	3	9
"YBR228W"	2	3	1	1	3	2
"YNL320W"	1	2	3	3	3	2
"YGR123C"	7	11	10	3	2	3
"YBR269C"	1	5	3	12	7	11
"YMR220W"	15	28	13	11	4	13
"YLR290C"	0	2	4	2	4	3
"YMR188C"	7	11	8	5	7	4
"YNL258C"	7	18	6	6	11	12
"YNL075W"	9	10	9	5	6	6
"YPR159W"	32	35	24	22	19	23
"YMR198W"	3	2	5	2	2	2
"YHR089C"	30	29	27	9	4	11
"YBR194W"	0	3	1	3	1	0
"YBR190W"	0	0	1	0	0	0
"YNR018W"	6	5	9	10	9	11
"YAL044C"	28	42	23	23	8	18
"YKL197C"	8	4	3	4	8	10
"YKL139W"	3	8	1	0	6	8
"YGR138C"	12	18	11	5	1	6
"YHR129C"	3	5	2	2	1	4
"YLR436C"	9	16	7	6	14	9
"YOR253W"	9	15	5	3	7	7
"YNL268W"	21	44	17	15	16	22
"YIL105C"	10	8	8	10	16	15
"YDL029W"	19	32	21	16	23	29
"YDR403W"	1	2	0	0	0	0
"YOR132W"	1	12	2	5	2	6
"YPR160C-A"	0	0	0	0	0	0
"YCL026C-B"	4	1	1	1	5	1
"YPR092W"	1	0	1	0	0	0
"YDR525W-A"	0	0	0	0	1	1
"YPL255W"	3	7	4	0	2	2
"YEL012W"	2	4	1	6	12	16
"YOR192C"	3	0	3	0	4	6
"YGL229C"	3	3	1	2	1	0
"YER065C"	2	5	4	79	49	56
"YPR194C"	4	5	2	0	4	0
"YOL005C"	0	9	2	3	5	5
"YML052W"	25	29	23	11	6	16
"YML064C"	2	4	5	3	0	4
"YHL019C"	1	5	3	0	2	3
"YBR167C"	1	2	1	2	2	3
"YHL046C"	0	0	0	0	0	0
"YPR176C"	4	9	6	4	5	6
"YFL016C"	17	21	21	24	20	39
"YLR383W"	8	9	9	8	3	9
"YJL062W"	8	17	10	4	3	5
"YDR140W"	3	0	1	5	0	3
"YNL252C"	6	14	6	5	6	6
"YLR048W"	83	141	102	24	32	34
"YGR282C"	81	108	80	69	78	96
"YEL033W"	8	12	9	18	10	12
"YMR196W"	12	5	7	29	41	40
"YOR205C"	5	6	7	6	2	6
"YLR299W"	11	12	8	12	15	14
"YER056C"	50	74	58	18	37	23
"YBR188C"	1	0	0	0	2	1
"YHR178W"	1	2	3	7	6	2
"YOR195W"	11	19	15	11	10	16
"YER114C"	11	17	9	4	7	7
"YOR192C-C"	0	0	0	0	0	0
"YJL191W"	16	34	25	12	16	17
"YGL258W"	0	0	0	0	0	0
"YIL002C"	7	9	7	5	7	7
"YDR518W"	2	8	5	5	2	3
"YKR021W"	8	4	3	2	8	5
"YLR328W"	5	10	8	4	4	11
"YKL173W"	8	6	4	4	5	7
"YBL003C"	43	49	36	14	12	18
"YNR013C"	20	13	16	5	7	11
"YJR077C"	50	57	51	38	35	48
"YDR376W"	6	5	3	2	5	5
"YJL120W"	0	0	0	0	0	0
"YPR078C"	0	0	0	2	0	1
"YGL058W"	6	3	2	2	1	5
"YFL005W"	10	21	12	11	9	19
"YMR284W"	0	5	4	6	5	4
"YML061C"	5	16	8	13	6	15
"YJL139C"	6	1	4	1	0	1
"Q0045"	0	0	0	0	0	0
"YDL129W"	0	2	1	1	2	1
"YLR449W"	12	24	15	6	8	8
"YAL037C-B"	4	1	4	0	3	3
"YLR021W"	2	2	3	1	2	4
"YDL007W"	46	60	42	31	37	50
"YOR145C"	11	6	14	8	7	10
"YMR317W"	3	4	0	6	6	6
"YKR069W"	25	39	32	9	9	22
"YOR287C"	1	4	0	1	0	2
"YIL122W"	1	0	1	2	0	2
"YHR071C-A"	0	2	1	1	2	4
"YPL218W"	11	27	15	13	10	16
"YGR296C-B"	0	0	0	0	0	0
"YPR037C"	1	1	0	5	2	2
"YLR080W"	3	0	3	4	10	6
"YJR149W"	0	3	5	3	2	10
"YJL145W"	8	16	5	3	4	3
"YKL036C"	0	0	1	0	0	1
"YPR198W"	7	7	6	4	8	11
"YNR052C"	16	8	5	6	6	5
"YHR098C"	24	31	15	11	19	19
"YOR244W"	6	8	3	2	4	6
"YMR314W"	21	23	17	21	28	22
"YLR173W"	1	4	7	5	4	4
"YHR190W"	31	35	24	18	23	23
"YPL097W"	9	12	4	1	3	13
"YNL115C"	8	4	8	22	24	19
"YLR103C"	6	7	7	0	7	6
"YBR112C"	15	23	23	12	14	22
"YNL247W"	29	40	25	15	18	11
"YLR123C"	0	0	0	0	0	0
"YOR345C"	0	0	0	0	0	0
"YNR065C"	4	11	11	1	4	3
"YER014C-A"	0	0	1	1	0	4
"YKL132C"	2	1	1	1	0	0
"YPL222W"	3	3	3	21	22	23
"YKL012W"	10	11	6	5	7	9
"YLR395C"	8	14	9	6	5	16
"YHR141C"	56	82	55	22	29	23
"YAL041W"	7	10	11	11	10	7
"YBL052C"	4	8	7	1	3	5
"YCL045C"	27	46	26	7	15	20
"YNL011C"	2	4	1	2	2	5
"YDL135C"	5	7	5	8	5	9
"YMR237W"	13	16	7	7	13	8
"Q0032"	0	0	0	0	0	0
"YOR020W-A"	5	1	1	7	4	5
"YOR054C"	1	3	4	4	11	11
"YMR158C-A"	0	0	0	0	0	0
"Q0070"	0	0	0	0	0	0
"YGR214W"	109	127	98	41	39	50
"YIR021W-A"	0	0	0	0	0	0
"YGR046W"	6	5	4	4	11	14
"YGR224W"	0	5	1	1	1	5
"YMR130W"	2	7	5	3	3	5
"YLR455W"	4	8	8	5	11	4
"YDR308C"	1	3	1	1	1	6
"YJL153C"	3	6	0	72	55	44
"YGL259W"	0	1	0	0	1	0
"YKR036C"	11	6	4	5	6	11
"YIR030W-A"	0	0	0	0	0	0
"YDR320C"	3	11	7	8	4	6
"YIL047C-A"	1	0	0	1	0	0
"YBR035C"	12	20	10	6	15	18
"YCR002C"	8	13	12	10	14	10
"YOR192C-A"	0	0	0	0	0	0
"YDR244W"	3	7	4	7	14	6
"YAL016W"	15	12	20	17	25	39
"YER097W"	0	0	0	0	0	0
"Q0275"	0	0	0	0	0	0
"YPR093C"	5	3	2	3	3	4
"YMR239C"	5	5	5	3	3	6
"YLR163C"	12	18	9	3	12	12
"YDL072C"	10	10	7	12	9	14
"YPL190C"	21	24	16	15	18	23
"YHR199C-A"	1	1	1	0	1	0
"YER059W"	1	5	6	4	3	6
"YBR207W"	9	11	8	4	15	12
"YIL049W"	1	2	3	1	0	2
"YBR069C"	0	1	0	2	1	2
"YML073C"	63	70	62	21	27	31
"YLR084C"	13	19	6	2	2	4
"YGL215W"	12	25	12	14	14	11
"YPR066W"	2	1	4	1	3	0
"YOR135C"	2	2	4	1	3	1
"YNL202W"	0	0	0	7	9	6
"YOR161C-C"	0	0	0	0	0	0
"YPL143W"	16	27	10	8	10	9
"YLR099C"	4	3	1	5	3	4
"YDR092W"	7	9	4	8	3	5
"YOR080W"	3	6	3	3	2	4
"YNL277W-A"	0	0	0	1	0	0
"YCL073C"	0	0	1	0	0	0
"YNL133C"	1	3	1	4	2	3
"YJL053W"	8	9	7	2	3	8
"YJL167W"	47	63	34	22	37	25
"YIL097W"	1	2	1	3	6	3
"YOR198C"	41	52	38	22	19	29
"YNR025C"	0	0	0	0	0	0
"YLR014C"	3	8	6	4	5	8
"YLL065W"	0	0	0	0	0	0
"YNL101W"	13	20	12	12	9	13
"YGL241W"	7	8	10	6	6	8
"YML055W"	1	10	4	3	3	6
"YHR143W-A"	3	7	6	2	1	2
"YLL050C"	28	34	20	14	20	23
"YFL052W"	0	0	0	1	1	2
"YML035C"	7	17	15	8	12	10
"YGR133W"	2	3	4	1	7	3
"YDR357C"	0	4	1	7	7	11
"YDR023W"	44	60	50	23	26	41
"YDR006C"	8	10	8	11	7	13
"YPL280W"	0	0	0	1	4	8
"YNL256W"	19	17	15	0	12	6
"YML100W"	6	6	2	15	28	27
"YHR197W"	6	14	9	1	3	3
"YER098W"	3	5	3	1	4	3
"YDR401W"	0	0	0	0	0	0
"YNL325C"	3	4	4	7	4	7
"YDL244W"	0	0	1	0	0	1
"YGL204C"	3	3	3	1	1	0
"YBR128C"	2	0	2	2	2	0
"YGL168W"	0	1	0	0	1	3
"YFR010W-A"	0	0	0	0	2	0
"YPL258C"	4	3	1	1	5	2
"YDR540C"	1	0	0	0	0	0
"YNL216W"	9	23	10	11	14	17
"YIL036W"	5	10	6	10	10	15
"YDL082W"	57	74	63	16	14	18
"YJL215C"	0	0	0	0	0	0
"YOR282W"	0	0	1	0	0	1
"YPL096C-A"	0	0	0	1	1	0
"YLR307W"	0	0	0	0	1	1
"YML119W"	3	2	5	4	6	5
"YPL273W"	15	15	13	7	6	8
"YCL066W"	0	0	0	0	0	0
"YPL201C"	0	1	0	8	25	25
"YLR046C"	1	3	1	0	1	1
"YDR316W-A"	0	0	0	0	0	0
"YHR003C"	10	12	8	6	3	9
"YFL019C"	0	0	0	0	0	0
"YKR085C"	8	10	9	7	4	5
"YPL025C"	1	0	0	0	0	0
"YPR041W"	28	40	28	12	11	23
"YJL050W"	25	36	29	10	14	16
"YHR171W"	0	2	0	1	3	11
"YLR154C-G"	0	0	0	0	0	0
"YLR051C"	7	12	5	3	2	4
"YER116C"	0	4	3	1	3	5
"YOR136W"	31	39	31	22	23	24
"YOL086W-A"	1	0	1	0	2	2
"YBL113C"	10	14	18	10	18	12
"YOR202W"	23	25	19	7	6	14
"YPR016W-A"	0	0	0	0	0	0
"YHR219C-A"	0	0	0	0	0	0
"YLR364W"	9	8	5	1	2	0
"YNL054W"	5	9	12	9	7	6
"YGR137W"	1	0	0	0	0	2
"YBR153W"	2	1	1	4	4	3
"YGR142W"	10	8	7	28	51	54
"YOL023W"	7	9	6	4	5	7
"YKL186C"	1	7	5	2	6	11
"YOL165C"	0	0	1	0	0	0
"YDR221W"	6	7	4	8	6	8
"YGR264C"	32	52	46	13	10	18
"YDL184C"	0	2	0	0	0	0
"YDR206W"	18	19	16	6	11	17
"YKL198C"	10	9	6	9	12	6
"YLR112W"	1	1	1	0	1	0
"YBL037W"	4	8	12	7	6	5
"YDR504C"	0	1	0	1	1	1
"YBL083C"	0	0	0	0	0	0
"YJR152W"	3	5	5	7	3	3
"YPR042C"	5	8	2	2	7	4
"YBR191W-A"	0	0	0	0	0	0
"YBR085W"	0	1	0	0	0	0
"YDR215C"	1	0	0	0	0	0
"YKL076C"	0	0	1	1	1	0
"YER068C-A"	1	2	4	3	3	5
"YKL106W"	11	12	12	4	2	7
"YBR281C"	13	14	11	8	11	12
"YDL153C"	16	20	25	6	15	7
"YBL078C"	2	0	1	2	4	8
"YDL150W"	7	3	4	4	6	4
"YLL001W"	15	13	15	17	17	22
"YOL136C"	6	7	3	5	2	3
"YER036C"	46	43	40	15	23	23
"YGL052W"	2	1	0	0	0	0
"YDR398W"	16	19	11	5	6	6
"YNL168C"	5	2	12	3	3	4
"YGR038W"	6	7	2	2	4	5
"YIL077C"	3	1	3	10	8	10
"YDR053W"	0	0	0	1	0	0
"YKR031C"	25	17	14	13	15	19
"YMR153W"	4	5	5	5	3	8
"YPL266W"	10	15	8	3	4	8
"YPL279C"	4	1	1	0	1	0
"YPL264C"	8	5	3	2	2	2
"YHR132C"	19	12	10	4	14	12
"YER115C"	4	2	2	0	1	3
"YLR336C"	13	13	11	5	7	8
"YDR101C"	24	25	19	5	8	8
"YDR441C"	2	5	2	3	12	8
"YMR121C"	5	4	6	2	5	13
"YHL014C"	2	4	1	5	1	4
"YIL054W"	0	0	0	0	0	0
"YMR312W"	4	4	6	3	1	2
"YMR164C"	1	1	2	4	8	7
"YOR382W"	0	4	0	4	1	1
"YLR141W"	2	5	1	0	2	2
"YOR214C"	0	0	0	0	0	0
"YJL030W"	2	9	2	2	4	2
"YDR410C"	3	5	2	3	2	5
"YDR498C"	2	8	4	5	5	4
"YJR096W"	5	5	1	8	26	28
"YOR335C"	38	80	54	32	35	34
"YGL059W"	3	7	6	4	6	10
"YNL017C"	0	0	0	0	0	0
"YMR051C"	0	0	0	0	0	0
"YNL087W"	39	57	32	11	18	14
"YHR015W"	1	1	0	3	1	0
"YJL177W"	36	67	58	18	21	23
"YDR502C"	149	216	168	34	62	67
"YGL037C"	10	5	8	22	33	42
"YDR359C"	7	13	10	9	8	12
"YLR073C"	2	1	1	0	1	2
"YLR227W-B"	53	63	49	33	39	24
"YAR018C"	0	2	5	2	2	1
"YJR076C"	23	19	15	10	3	23
"YCR105W"	0	0	0	0	0	0
"YJR057W"	2	5	5	1	5	3
"YOR112W"	3	7	6	5	11	10
"YKL045W"	7	5	1	5	7	14
"YBR121C-A"	0	0	0	0	0	0
"YBR258C"	1	1	2	0	0	0
"YHR162W"	28	40	25	8	9	12
"YPR074C"	80	109	97	31	35	49
"YFR020W"	10	18	13	5	3	10
"YLR262C-A"	10	16	7	5	4	10
"YML013W"	3	5	7	9	8	7
"YGR014W"	35	28	18	29	21	25
"YGR217W"	13	12	11	4	5	12
"YPL003W"	4	2	5	0	6	5
"YLR017W"	12	11	7	5	4	8
"YML089C"	0	0	0	2	0	2
"YLR297W"	0	0	0	1	6	0
"YNL165W"	2	5	2	1	1	10
"YDL169C"	0	0	0	4	2	7
"YMR319C"	8	12	8	4	6	4
"YMR119W-A"	0	0	0	1	0	0
"YEL014C"	1	0	0	0	0	0
"YDL127W"	2	4	1	5	0	1
"YDL136W"	43	75	53	21	32	42
"YOR152C"	2	0	0	6	9	1
"YDL216C"	3	0	3	3	4	2
"YBR068C"	6	6	5	27	32	37
"YFR028C"	16	12	9	5	6	7
"YHR126C"	0	0	0	1	1	2
"YHR008C"	22	9	11	27	33	45
"YDR261C-C"	0	0	0	0	0	0
"YOL001W"	4	2	3	1	3	3
"YML111W"	7	5	8	8	4	7
"YMR016C"	3	9	7	9	7	4
"YKL023W"	6	5	4	3	7	8
"YBL017C"	29	46	28	13	24	19
"YBR133C"	8	16	13	3	4	8
"YGR229C"	15	27	9	12	11	26
"YDR015C"	0	0	0	0	0	0
"YOR092W"	7	8	12	3	3	6
"YJL127C"	2	6	5	4	3	7
"YER138W-A"	0	1	0	0	0	0
"YNR010W"	1	0	0	0	0	1
"YDR047W"	8	15	9	5	7	4
"YJR119C"	1	1	4	7	5	6
"YPL001W"	5	3	1	3	6	3
"YER078W-A"	0	0	0	0	0	0
"YMR247W-A"	0	0	0	0	0	0
"YOR381W"	3	3	4	0	0	5
"YBR159W"	22	33	12	4	10	14
"YDR249C"	4	0	2	1	1	0
"YGR158C"	4	6	7	3	5	3
"YOR350C"	4	3	6	13	5	13
"YOR210W"	4	4	6	2	0	0
"YNL105W"	0	0	0	0	0	0
"YKL174C"	6	8	5	3	8	3
"YLR058C"	225	317	239	37	32	55
"YLR403W"	9	14	9	3	12	14
"YLR028C"	27	44	23	29	28	41
"YLR286C"	70	91	70	34	26	38
"YDL044C"	2	5	2	3	2	7
"YBR274W"	7	5	5	1	3	3
"YEL032C-A"	0	0	0	0	0	0
"YER081W"	53	73	49	21	15	24
"YMR179W"	4	4	7	0	3	2
"YNL305C"	2	9	5	6	7	8
"YDR148C"	15	13	18	38	44	48
"YCR081C-A"	0	0	0	0	0	0
"YER067C-A"	0	0	0	0	0	1
"YJL059W"	1	2	3	1	4	2
"YEL044W"	9	5	3	6	9	6
"YIL130W"	8	6	7	6	7	5
"YFR052C-A"	0	0	0	7	6	14
"YGL108C"	2	1	3	1	5	1
"YBL066C"	8	8	5	12	7	8
"YBL051C"	19	25	12	3	3	13
"YGL023C"	8	14	12	14	13	21
"YOR351C"	0	0	0	0	1	1
"YFR035C"	2	2	4	1	4	2
"YDR042C"	0	0	0	0	0	0
"YJR068W"	5	8	9	4	4	7
"YDL168W"	18	21	13	19	14	30
"YBR020W"	0	0	1	1	0	2
"YDL049C"	7	7	2	9	11	19
"YAL019W"	17	19	13	4	5	7
"YDR484W"	4	4	1	2	4	3
"YEL037C"	23	24	32	19	16	34
"YDL114W"	0	0	0	1	0	0
"YCL027W"	4	1	1	1	0	1
"YBR273C"	10	5	3	8	10	13
"YHR139C-A"	0	0	0	0	0	0
"YIL062C"	7	6	3	2	9	8
"YML091C"	21	30	26	38	28	52
"YCL021W-A"	0	2	1	0	0	0
"YAL017W"	9	15	6	8	17	24
"YOR372C"	2	5	4	3	5	9
"YGL098W"	7	3	0	3	2	3
"YDL209C"	2	4	4	0	4	3
"YMR199W"	4	3	2	7	7	11
"YNL329C"	11	7	7	6	8	15
"YJL022W"	0	0	0	0	0	0
"YCR093W"	21	43	26	21	15	37
"YMR300C"	58	85	76	13	22	18
"YLR159C-A"	0	0	0	0	0	0
"YCR039C"	0	0	0	0	1	0
"YBL053W"	0	1	0	1	0	0
"YLR008C"	5	7	7	4	1	5
"YIL107C"	3	8	1	12	18	34
"YIL057C"	0	0	0	44	41	53
"YGL136C"	2	5	1	6	6	2
"YBL107W-A"	0	0	0	0	0	0
"YHR024C"	14	10	9	5	4	8
"YLR120C"	9	12	7	7	5	11
"YGR211W"	17	25	26	15	21	18
"YPR089W"	13	12	11	6	11	6
"YML007W"	12	26	23	30	40	34
"YEL030C-A"	0	0	0	0	0	0
"YPL039W"	1	4	2	6	5	8
"YGL041C-B"	0	0	0	1	0	0
"YHR120W"	7	5	6	4	3	6
"YLR237W"	6	9	7	12	14	11
"YCL076W"	0	0	0	0	0	0
"YBL007C"	22	37	20	22	26	26
"YFL034C-A"	23	17	18	5	10	9
"YMR194W"	17	30	20	7	12	11
"YGR068C"	5	6	3	0	3	3
"YNR064C"	0	0	0	3	1	6
"YBR301W"	0	0	0	0	0	0
"YPL075W"	16	31	16	12	14	12
"YPL017C"	2	0	0	5	6	5
"YGR163W"	3	5	7	1	3	8
"YML004C"	24	19	12	21	28	36
"YNL097W-A"	0	0	0	0	0	0
"YDR108W"	5	9	8	1	1	3
"YMR202W"	31	45	42	11	16	19
"YGR292W"	2	3	1	29	32	53
"YOR140W"	4	12	7	3	1	7
"YHR172W"	4	7	4	3	5	4
"YBR266C"	0	0	0	0	0	0
"YKL102C"	0	0	0	0	0	0
"YDR034C-D"	9	14	3	2	2	8
"YEL029C"	10	6	6	2	0	2
"YNL267W"	20	21	13	12	13	18
"YDR058C"	5	1	0	1	1	3
"YLR250W"	12	7	6	9	5	13
"YHR053C"	0	0	0	0	0	0
"YGR245C"	16	26	19	11	9	13
"YKR066C"	9	11	8	13	19	22
"YNL040W"	7	8	4	7	9	6
"YGL161C"	7	9	11	10	8	11
"YIL003W"	2	1	3	2	1	2
"YMR105W-A"	1	0	0	0	0	0
"YPR144C"	2	14	9	3	1	8
"YHR214W-A"	2	1	1	2	1	2
"YOR359W"	0	3	7	5	3	4
"YFL055W"	1	2	0	4	2	10
"YDR524W-C"	0	0	0	0	0	1
"YGR070W"	3	1	2	8	11	7
"YGR181W"	3	3	4	5	3	5
"YIL086C"	0	1	0	1	0	2
"YPL029W"	4	7	10	5	4	7
"YGL102C"	2	3	2	1	0	1
"YER007C-A"	4	7	5	3	6	9
"YLR116W"	3	5	7	4	3	3
"YAL047W-A"	0	0	0	0	0	0
"YDR197W"	2	2	1	2	5	5
"YJR144W"	9	16	10	7	4	15
"YPL224C"	8	10	5	3	8	5
"YPL172C"	5	7	6	9	3	5
"YMR083W"	68	75	40	22	28	20
"YGR086C"	61	86	52	70	105	147
"YMR156C"	1	2	1	1	1	2
"YHR205W"	21	25	22	7	14	15
"YOL013W-A"	0	0	0	0	0	0
"YGR281W"	9	10	13	11	11	16
"YCR048W"	6	5	6	5	1	5
"YKL182W"	138	160	111	219	305	325
"YDL065C"	7	10	9	6	11	9
"YPR201W"	1	0	0	2	3	1
"YLR154W-E"	0	0	0	0	0	0
"YMR126C"	0	3	1	1	0	2
"YDR175C"	13	11	5	4	4	12
"YEL059W"	0	0	0	0	0	0
"YDR428C"	2	3	3	1	3	0
"YJL195C"	0	0	0	0	0	0
"YER032W"	5	12	5	2	6	1
"YMR194C-A"	0	1	0	0	0	0
"YOR182C"	29	32	28	12	8	23
"YGR194C"	2	3	2	7	3	11
"YHR056W-A"	0	0	0	0	0	0
"YGR078C"	4	4	4	0	1	4
"YHR163W"	28	24	24	14	13	25
"YMR265C"	4	3	7	2	3	7
"YIL162W"	4	12	5	35	41	53
"YOR222W"	21	39	23	7	8	18
"YBL103C"	4	10	5	0	4	5
"YLR358C"	0	0	1	0	0	0
"YIL052C"	64	72	71	21	27	23
"YKL108W"	5	1	1	0	4	2
"YML040W"	0	0	0	0	0	0
"YMR059W"	1	1	0	1	0	0
"YDR302W"	6	13	7	1	2	6
"YOL017W"	3	3	1	3	6	5
"YLR382C"	13	18	2	10	10	10
"YBR242W"	5	5	5	0	0	3
"YBL021C"	1	1	0	1	0	2
"YNL246W"	6	11	9	10	4	6
"YER012W"	16	29	11	10	13	23
"YOL030W"	37	32	32	16	17	26
"YLR301W"	13	27	22	4	9	10
"YDR082W"	6	3	2	4	5	3
"YKL068W-A"	1	5	3	1	3	3
"YDL221W"	1	0	0	0	1	0
"YPR139C"	11	10	7	4	4	4
"YGL141W"	5	6	5	5	4	13
"YOR231C-A"	0	0	0	0	0	0
"YOR343W-B"	35	51	44	35	28	22
"YDR458C"	6	8	10	4	13	15
"YPL202C"	3	8	4	4	5	4
"YJR072C"	11	13	6	6	7	6
"YLR114C"	13	24	12	7	11	18
"YOL068C"	7	11	10	12	12	5
"YPR071W"	5	2	1	0	0	3
"YDR267C"	10	8	5	5	4	3
"YJL019W"	8	5	8	2	5	7
"YLR248W"	9	22	16	14	29	19
"YIL020C"	5	5	5	1	2	3
"YNL063W"	0	0	1	4	0	1
"YOR073W-A"	0	1	0	0	0	0
"YOR391C"	0	0	0	1	7	4
"YFR044C"	20	16	14	18	12	16
"YFL023W"	11	9	9	7	6	8
"YIL129C"	16	32	21	13	8	14
"YFL032W"	0	1	0	0	0	0
"YBR150C"	5	5	1	7	12	8
"YDR245W"	18	28	22	15	5	17
"YGL176C"	3	1	3	0	4	4
"YDR149C"	0	0	0	0	0	0
"YDR212W"	38	44	26	16	23	37
"YMR185W"	6	6	10	4	11	7
"YOR103C"	1	1	2	0	1	1
"YJL091C"	4	10	9	7	7	4
"YDR065W"	0	2	3	4	2	1
"YKL126W"	21	22	18	9	14	16
"YOR254C"	28	33	28	5	14	14
"YHR174W"	588	771	616	190	268	361
"YLR441C"	130	179	132	49	55	83
"YDR182W-A"	0	0	0	0	0	0
"YFR012W"	0	0	0	0	0	1
"YBR204C"	5	2	3	6	9	3
"YLR283W"	0	3	4	0	1	3
"YGL174W"	2	3	2	2	4	2
"YGR145W"	11	16	19	3	8	5
"YDR061W"	14	12	6	7	8	12
"YGR199W"	13	19	25	7	13	14
"YBL005W"	0	2	3	0	2	4
"YLR466C-B"	0	0	0	0	0	0
"YNL018C"	0	0	0	0	0	0
"YIL108W"	13	9	4	8	8	8
"YDR404C"	4	8	3	1	2	2
"YML122C"	0	1	1	0	0	3
"YBR131W"	5	5	3	1	1	0
"YOR058C"	8	11	7	0	9	7
"YBL104C"	6	12	10	5	4	7
"YBR095C"	3	8	4	3	7	2
"YIL004C"	7	6	2	7	1	4
"YBR084W"	38	49	38	8	15	29
"YCR095W-A"	0	0	0	1	0	0
"YMR173W"	5	4	1	5	10	8
"YKL203C"	15	19	12	11	9	11
"YKL221W"	0	0	0	2	2	1
"YHR085W"	4	7	8	1	2	4
"YOR301W"	3	4	1	3	4	6
"YDL210W"	0	0	1	1	2	1
"YPL044C"	0	0	0	0	0	0
"YDR168W"	13	11	15	18	14	30
"YKR052C"	0	2	2	1	4	3
"YNL308C"	19	35	14	8	13	8
"YOL089C"	2	5	4	3	10	8
"YOR171C"	8	16	14	6	9	14
"YIL050W"	9	8	5	11	8	7
