""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YOR274W"	5	6	1	3	4	6
"YER146W"	0	0	2	0	1	1
"YML075C"	34	56	37	31	38	52
"YOL035C"	0	0	1	1	1	0
"YPL063W"	13	29	20	8	14	16
"YDR457W"	17	38	34	19	16	19
"YLR273C"	2	1	2	4	11	6
"YDR181C"	6	8	5	7	7	7
"YLR434C"	0	1	0	0	1	0
"YGL097W"	12	18	21	4	11	13
"YCL056C"	5	0	4	2	8	4
"YJL083W"	1	3	1	1	5	4
"YMR242W-A"	0	0	0	0	0	0
"YOR026W"	8	5	6	5	2	7
"YPL140C"	9	4	3	5	5	5
"YNR016C"	153	218	136	299	321	368
"YER123W"	5	11	12	3	8	4
"YGR055W"	27	22	20	11	8	10
"YKR054C"	15	16	20	5	9	18
"YMR315W"	11	11	8	11	15	26
"YAL024C"	10	7	5	3	7	1
"YKL202W"	0	0	1	1	1	0
"YKL187C"	3	3	2	36	49	73
"YDR383C"	1	1	0	3	0	6
"YDR396W"	1	0	1	0	0	0
"YGR115C"	0	0	0	0	0	0
"YKL055C"	1	0	1	0	2	0
"YDR035W"	21	31	17	24	25	32
"YBL062W"	0	0	0	1	0	0
"YHR160C"	0	1	0	2	7	4
"YGR047C"	8	12	7	0	6	11
"YDR119W"	24	41	19	9	12	8
"YBR208C"	10	12	6	10	14	25
"YER151C"	11	19	16	9	10	6
"YLR070C"	0	0	0	4	11	9
"YPR019W"	22	12	9	9	14	8
"YPL228W"	7	12	4	5	3	8
"YPR190C"	8	14	14	5	8	8
"YGR041W"	5	9	4	3	4	5
"YDR353W"	31	37	30	7	14	15
"YHR097C"	4	6	6	14	13	17
"YPL047W"	0	1	1	0	0	3
"YPL014W"	1	1	3	1	3	4
"YGR007W"	6	10	6	4	8	3
"YML116W"	43	62	33	7	10	9
"YOL137W"	4	9	3	2	2	9
"YGL155W"	5	7	5	3	3	6
"YER061C"	11	10	3	6	4	4
"YKL214C"	2	6	0	1	4	5
"YPL119C"	0	3	1	4	6	10
"YDL125C"	13	19	13	10	18	16
"YHR186C"	15	7	7	3	8	9
"YKL011C"	3	5	3	2	4	3
"YLL019C"	6	6	8	29	22	40
"YNL257C"	14	21	7	8	9	9
"YGL199C"	0	0	0	0	0	1
"YJR092W"	19	18	13	10	11	13
"YDR010C"	0	0	0	0	0	0
"YBL059W"	3	2	1	2	2	4
"YBR291C"	26	25	24	6	6	14
"YPL189C-A"	0	0	1	4	2	4
"YDR262W"	3	9	6	21	23	21
"YFL012W"	0	0	0	0	1	0
"YLR078C"	2	15	5	7	5	4
"YDR072C"	8	8	6	11	16	15
"YDR179C"	2	3	2	5	0	2
"YKL153W"	11	13	13	7	8	5
"YOR108C-A"	0	0	0	0	0	0
"YGR220C"	5	8	6	7	7	4
"YIL053W"	78	116	72	19	26	32
"YMR161W"	9	9	7	1	4	8
"YER011W"	0	1	0	3	0	1
"YDR258C"	32	29	36	65	86	115
"YDR467C"	3	0	0	0	0	0
"YGL162W"	0	3	1	4	1	0
"YNL243W"	33	31	29	19	18	37
"YBR234C"	15	14	14	5	15	14
"YNL047C"	5	9	6	11	5	7
"YKL038W"	5	8	7	4	7	8
"YFL053W"	2	0	0	2	1	2
"YOR200W"	0	0	1	0	0	0
"YKR060W"	6	4	1	1	1	3
"YPR200C"	0	0	0	0	1	0
"YLR411W"	0	2	0	4	30	32
"YLR318W"	3	1	6	3	4	3
"YHR150W"	1	6	2	6	5	5
"YGL219C"	3	7	4	8	6	8
"YFL009W"	8	8	5	6	5	6
"YBR045C"	1	3	2	3	5	9
"YMR039C"	6	20	14	7	4	11
"YKL195W"	27	43	29	26	30	36
"YPR127W"	1	3	2	6	14	28
"YPL188W"	9	8	4	11	9	7
"YGL147C"	99	113	97	16	27	25
"YDR217C"	9	8	11	7	10	10
"YML015C"	6	3	4	4	8	4
"YJR126C"	7	16	8	8	12	15
"YPR026W"	7	5	3	18	25	32
"YHR073W"	27	29	18	16	20	19
"YMR274C"	1	1	2	1	1	0
"YMR008C"	10	11	5	10	8	15
"YHR125W"	0	0	0	0	0	0
"YER119C-A"	1	1	2	1	0	2
"YDL227C"	19	22	19	11	11	10
"YOR197W"	18	28	18	8	16	14
"YDR034C-C"	0	0	0	0	0	0
"YNL081C"	9	7	7	3	7	8
"YKL096W-A"	30	32	23	48	53	60
"YDR532C"	3	2	2	3	1	4
"YNL319W"	0	0	0	0	0	0
"YDR049W"	0	4	7	5	3	5
"YBR113W"	1	1	1	2	1	0
"YKL170W"	1	0	0	3	0	1
"YJL043W"	0	0	1	0	0	0
"YGL047W"	3	1	0	1	4	7
"YLR006C"	6	5	4	2	4	3
"YHR079C"	5	7	5	7	6	14
"YPR171W"	6	3	2	8	6	2
"YML063W"	145	218	148	38	71	77
"YLR178C"	2	4	1	14	18	13
"YHL029C"	9	10	7	8	4	6
"YJL090C"	5	5	3	2	5	2
"YBR008C"	4	6	3	3	5	8
"YDR372C"	17	24	18	8	16	21
